episode,timesteps,episode_reward,episode_duration,energy_consumed,final_distance,final_speed,remaining_battery,success
1,2000,1.686016,2000,0.007177392128116177,1525.2467393875122,0.0,794258.0862975076,0.0
2,4000,-1596.830539,2000,0.536198136283955,2298.04265499115,0.0,371041.4909728356,0.0
3,6000,492.682007,2000,0.1615496651975435,1272.018402814865,0.0,670760.2678419646,0.0
4,8000,-0.798833,2000,0.008382160235949872,1526.4095664024353,0.03715221304446459,793294.2718112398,0.0
5,10000,0.559429,2000,0.007159181457876281,1525.7883667945862,0.0,794272.6548336986,0.0
6,12000,382.366071,2000,0.00441410988049482,1335.024654865265,0.24116840213537216,796468.7120956046,0.0
7,14000,192.684405,2000,0.09262014508284976,1425.4647195339203,12.89326786994934,725903.8839337198,0.0
8,16000,-0.575559,2000,0.007333532171179706,1526.3580679893494,0.08896035142242908,794133.1742630566,0.0
9,18000,1019.705756,2000,0.719330602610653,980.6165993213654,0.0,224535.51791147803,0.0
10,19377,1160.060376,1377,1.0049391536918575,696.4119225740433,13.272169828414917,0.0,0.0
11,21377,1689.247294,2000,0.18921242430475943,672.3503619432449,0.0,648630.060556192,0.0
12,23086,1271.841148,1709,1.1707335321735581,682.2178959846497,20.0,0.0,0.0
13,25086,1867.33782,2000,0.5013167711726423,617.8940981626511,0.0,652127.5009279294,0.0
14,27086,1398.446332,2000,0.5406979422460636,800.1775145530701,16.292922496795654,367441.6462031462,0.0
15,29086,1755.290492,2000,0.643244303594677,616.6319400072098,10.761198997497559,285404.55712425703,0.0
16,31086,1883.525708,2000,0.45019918898013117,612.3657077550888,0.02342839725315571,755029.8490500873,0.0
17,33086,2245.739401,2000,0.8100902433141624,413.3015424013138,6.78727924823761,664776.8573725729,0.0
18,35086,1909.821674,2000,0.9505742792263577,523.9841938018799,0.0,39540.57661891331,0.0
19,37086,1968.931055,2000,0.9189537596148253,496.02439999580383,0.0,64836.99230813986,0.0
20,39086,1853.224167,2000,0.7989687839423639,559.8637908697128,0.0,160824.97284610858,0.0
21,41086,886.213886,2000,0.49142767086608047,1058.7828755378723,0.0,406857.8633071347,0.0
22,43086,662.223824,2000,0.5048091141246165,1170.0358092784882,0.0,396152.70870030695,0.0
23,45086,595.569523,2000,0.41620255370304576,1207.8421711921692,0.021036863327026367,467037.9570375636,0.0
24,47086,576.503414,2000,0.43588162782214457,1216.3884937763214,0.0,451294.6977422841,0.0
25,49086,675.132102,2000,0.49806016031799244,1163.95765542984,0.8160130679607391,401551.8717456064,0.0
26,51086,1854.824297,2000,0.7956332406791576,559.2404007911682,0.6547585129737854,163493.4074566734,0.0
27,53086,1870.710458,2000,0.8376135937773606,549.1997748613358,0.0,129909.12497811018,0.0
28,55086,1849.131386,2000,0.9089621057838001,556.4182698726654,0.03075475338846445,72830.31537296115,0.0
29,57086,1880.611089,2000,0.968895057015626,537.685364484787,0.5498150363564491,24883.954387499874,0.0
30,59086,1934.112295,2000,0.7420110278408455,522.2770571708679,0.0,206391.17772732413,0.0
31,61086,1935.806766,2000,0.6982619971438452,523.6182510852814,0.0,241390.40228492417,0.0
32,61837,866.155643,751,1.6001165338250312,863.2449209690094,13.540793657302856,0.0,0.0
33,63837,2283.264809,2000,0.48042323918347696,360.7741892337799,0.3201909735798836,415661.4086532189,0.0
34,65837,1881.836194,2000,0.35650540707072714,567.6876157522202,0.1298990473151207,514795.67434341874,0.0
35,67837,1782.262698,2000,0.9777210406400272,636.2803280353546,0.0,405630.1776192165,0.0
36,68615,1371.382782,778,1.5026828591345798,615.7156080007553,20.0,0.0,0.0
37,70615,2010.975611,2000,0.650923940304609,488.3986562490463,0.7316883653402328,279260.84775631246,0.0
38,72615,1414.196677,2000,0.38364282686642187,849.9272167682648,0.0,968139.1947962459,0.0
39,74615,1441.915526,2000,0.5656096422934235,827.144980430603,0.0,793197.72668058,0.0
40,76615,1441.61941,2000,0.48055662077880923,831.4538598060608,0.3205583244562149,861564.7756365183,0.0
41,78615,2063.668105,2000,0.6307431948960635,463.06461095809937,0.9763529896736145,295405.44408314873,0.0
42,80615,1415.612116,2000,0.4028671046116595,848.389059305191,0.0,922113.3824702224,0.0
43,82615,2390.013379,2000,1.56417133543705,353.17864269018173,0.0,202286.48927063972,0.0
44,84615,2572.642821,2000,0.6829863619034752,255.84912300109863,0.0,677367.7759947021,0.0
45,86615,2041.27214,2000,0.6897657667944321,521.1989879608154,0.10615380480885506,704516.5146999264,0.0
46,88615,2529.205528,2000,0.9305406365772394,265.1296555995941,3.741946816444397,503320.10461819556,0.0
47,89509,1338.946637,894,1.0027983825329607,606.9612354040146,20.0,0.0,0.0
48,91509,1834.538463,2000,0.6357051116826158,577.3782134056091,0.0,291435.9106539077,0.0
49,92601,1207.443438,1092,1.0064473997968237,672.7119237184525,18.804235458374023,0.0,0.0
50,94601,2227.092657,2000,0.3459858905480317,395.58689296245575,0.0,523211.2875615739,0.0
51,96601,2210.375688,2000,0.20764935877592364,410.8608216047287,0.09555594064295292,633880.5129792619,0.0
52,98601,2347.287179,2000,0.9313961488131844,356.5105274319649,0.11588973924517632,366128.9288003846,0.0
53,100601,2267.320208,2000,0.3478696185988931,375.3831088542938,0.8392577618360519,521704.30512088555,0.0
54,102601,2265.535655,2000,0.2568215220456244,380.81735372543335,0.0,594542.782363502,0.0
55,104601,2204.11633,2000,0.7588814794652269,386.43135130405426,1.5045854449272156,192894.81642781908,0.0
56,106601,2186.492033,2000,1.0526317076180227,430.3720146417618,0.21157002076506615,418525.76152734394,0.0
57,108601,2020.422946,2000,0.8272066240947145,474.86118972301483,0.0,138234.70072422823,0.0
