episode,timesteps,episode_reward,episode_duration,energy_consumed,final_distance,final_speed,remaining_battery,success
1,2000,0.878647,2000,0.006724200124047554,1525.653898715973,0.0,794620.6399007624,0.0
2,4000,334.354549,2000,0.3922611972207237,1339.6424353122711,0.0,486191.04222341964,0.0
3,6000,554.555172,2000,0.17211273786062972,1240.5524253845215,0.0,662309.8097114952,0.0
4,8000,-870.50368,2000,0.23660823754960864,1949.8509764671326,0.0,610713.4099603143,0.0
5,10000,-4.122758,2000,0.014843869858153986,1527.73779630661,0.05914917215704918,788124.9041134762,0.0
6,12000,-2.075239,2000,0.011194289440317,1526.9029140472412,0.0,791044.5684477455,0.0
7,14000,200.788987,2000,0.09209786746141217,1421.438992023468,0.0,726321.7060308709,0.0
8,16000,-2.420215,2000,0.011717492615645008,1527.0511507987976,0.0,790626.0059074849,0.0
9,18000,1540.548472,2000,0.9659810690208309,757.8732669353485,18.852633237838745,567761.2203779609,0.0
10,20000,1717.512998,2000,0.6228935946386079,636.5284323692322,11.952204704284668,301685.124289113,0.0
11,20808,1450.304848,808,1.0023784512954725,551.2817949056625,15.285806655883789,0.0,0.0
12,22808,2123.151424,2000,1.161534328525636,506.8885087966919,0.0,848696.5290268549,0.0
13,24808,1934.26811,2000,1.2237787528571793,547.9988157749176,0.0,482361.5595385411,0.0
14,26808,1766.293235,2000,1.3128547489513969,677.8170615434647,0.0,675461.8486198097,0.0
15,28808,1759.363631,2000,1.1588852566054237,638.7003064155579,0.0,417791.56669900834,0.0
16,29358,1217.085009,550,1.0019250592222677,667.8911000490189,14.810593128204346,0.0,0.0
17,31358,2036.410896,2000,0.8749588185900609,514.5397782325745,0.0,440358.01893874985,0.0
18,33358,1890.247937,2000,1.144735463732905,574.2040872573853,0.038341747131198645,451581.5069175764,0.0
19,34634,1034.5372,1276,1.0015194336322466,759.164035320282,6.314234733581543,0.0,0.0
20,36634,2019.79487,2000,1.0633922144508434,513.4413242340088,3.011176288127899,587103.675863914,0.0
21,38229,1370.92665,1595,1.0000798154433896,590.9701734781265,2.365935295820236,0.0,0.0
22,40229,1661.628363,2000,0.952581095780387,647.9891538619995,4.232862293720245,37935.12337568968,0.0
23,42229,1634.304372,2000,0.7096308663483036,673.8018840551376,1.0685841739177704,232295.30692135592,0.0
24,44229,1741.261881,2000,0.9405061152429687,608.7867021560669,0.0,47595.107805626605,0.0
25,44705,1024.14181,476,1.0088901081534685,764.3634974956512,20.0,0.0,0.0
26,46705,1922.219398,2000,0.7620276946838249,527.2271186113358,1.3227269053459167,190377.84425294067,0.0
27,48705,2198.875917,2000,0.5039109146909885,401.79598331451416,0.01104467548429966,396871.2682472103,0.0
28,50705,2164.889046,2000,1.3386227694022728,427.341029047966,0.0,372704.2823286367,0.0
29,52705,1938.653264,2000,0.8100218304851252,516.6065096855164,1.8834087252616882,151982.5356118997,0.0
30,54705,2577.902988,2000,1.1451411077403473,230.5033653974533,0.1303126011043787,548225.976733818,0.0
31,55738,1334.696567,1033,1.0001079078001158,609.085813164711,3.1624236702919006,0.0,0.0
32,57738,2477.798974,2000,0.9361255710779857,290.9236550331116,0.0,721764.1451271306,0.0
33,59738,1868.177897,2000,0.9658440169028337,544.0566837787628,0.0,27324.7864777325,0.0
34,60324,1268.515209,586,1.0035124264993538,642.1762257814407,17.24416971206665,0.0,0.0
35,62324,2088.600439,2000,0.744604747672867,444.9012279510498,0.5580983683466911,204316.20186170508,0.0
36,64324,2442.920719,2000,0.975734290300525,306.2971383333206,0.0,707519.0170306484,0.0
37,66324,2579.599664,2000,1.1930838136278146,227.13978588581085,0.5212985724210739,528387.2574494433,0.0
38,68324,2315.972334,2000,0.5877689381555109,339.0580639243126,1.4705216884613037,329784.8494755914,0.0
39,70324,2153.432188,2000,0.5808667045702797,420.6728786230087,8.623648881912231,335306.63634377695,0.0
40,72324,2607.035627,2000,1.2425769781981106,210.84371209144592,0.0,498903.335176526,0.0
41,74324,2581.611318,2000,1.1824646568017863,226.63865983486176,0.0,514922.94630488567,0.0
42,76324,2203.302084,2000,0.5182342297172472,398.8708108663559,3.9591115713119507,385412.6162262013,0.0
43,78324,2603.383523,2000,1.1515617606785464,217.05839037895203,0.0,554030.5052321862,0.0
44,80324,2313.163732,2000,0.7593247067404536,331.88561350107193,3.3759477734565735,192540.23460763763,0.0
45,82324,2293.130098,2000,0.5978989838085368,349.97331351041794,0.0,321680.81295317016,0.0
46,84324,2350.614657,2000,0.6666257800739611,367.98638105392456,0.0,966287.6439434888,0.0
47,86324,2136.517648,2000,0.5876763558341135,428.79098653793335,0.0,329858.9153327114,0.0
48,88324,2329.015427,2000,0.6612036211589258,379.1733384132385,0.0,959712.4088543793,0.0
49,90324,2442.764389,2000,0.7783518027145743,316.3972645998001,0.17263105139136314,719050.646861367,0.0
